artifact,artifact_type,technique,ref_type,ref_value,source_file
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Projected Gradient Descent Numpy,author_citation,"Authors, 2020",art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_numpy.py
IBM ART,Tool,Graphite Whitebox Pytorch,arxiv,2002.07088,art/attacks/evasion/graphite/graphite_whitebox_pytorch.py
IBM ART,Tool,Graphite Whitebox Pytorch,arxiv,2002.07088,art/attacks/evasion/graphite/graphite_whitebox_pytorch.py
IBM ART,Tool,Graphite Whitebox Pytorch,author_citation,"Authors, 2022",art/attacks/evasion/graphite/graphite_whitebox_pytorch.py
IBM ART,Tool,Graphite Blackbox,arxiv,2002.07088,art/attacks/evasion/graphite/graphite_blackbox.py
IBM ART,Tool,Graphite Blackbox,arxiv,2002.07088,art/attacks/evasion/graphite/graphite_blackbox.py
IBM ART,Tool,Graphite Blackbox,author_citation,"Authors, 2022",art/attacks/evasion/graphite/graphite_blackbox.py
IBM ART,Tool,Adversarial Patch,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch.py
IBM ART,Tool,Adversarial Patch,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch.py
IBM ART,Tool,Adversarial Patch,author_citation,"Authors, 2020",art/attacks/evasion/adversarial_patch/adversarial_patch.py
IBM ART,Tool,Adversarial Patch Numpy,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_numpy.py
IBM ART,Tool,Adversarial Patch Numpy,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_numpy.py
IBM ART,Tool,Adversarial Patch Numpy,author_citation,"Authors, 2018",art/attacks/evasion/adversarial_patch/adversarial_patch_numpy.py
IBM ART,Tool,Adversarial Patch Tensorflow,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_tensorflow.py
IBM ART,Tool,Adversarial Patch Tensorflow,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_tensorflow.py
IBM ART,Tool,Adversarial Patch Tensorflow,author_citation,"Authors, 2020",art/attacks/evasion/adversarial_patch/adversarial_patch_tensorflow.py
IBM ART,Tool,Adversarial Patch Pytorch,arxiv,1712.09665,art/attacks/evasion/adversarial_patch/adversarial_patch_pytorch.py
